LEAD_ID;NOME LEAD;PRÉ VENDEDOR ATUAL;PRODUTO;ORIGEM;MERCADO;SUB-ORIGEM;TELEFONES;TEL PRINCIPAL;SITE;OBSERVACAO;LINK PUBLICO; LINK RD;CPF/CNPJ;ENDEREÇO;END-NUMERO;END-COMPLEMENTO;END-BAIRRO;END-CEP;END-PAIS;END-ESTADO;END-CIDADE;DATA CADASTRO;DATA ULTIMA ATUALIZACAO;USUARIO CADASTRO;EMAIL USUARIO CADASTRO;ETAPA ATUAL;FUNIL;DATA VENDA
34432049;Karter Lubrificantes ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1239567300, (+55) 1239562978;1239567300;;CNPJ: 04238156000166, Razão Social: KARTER LUBRIFICANTES LTDA, Data de Abertura: 12/01/2001, Outros emails: satihiro@uol.com.br, adm@aprisco.cnt.br, Sócios: Clovis De Lima Vieira, Victor Taira Vieira, Glaucia Sayuri Riyoji Takihi, CNAE primário:1922599-Fabricação de outros produtos derivados do petróleo, exceto produtos do refino, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNDkmZWNpZD0xNzg3OQ2;;04238156000166;NICOLA CAPPUCI, Nº 3201;;;;12326491;Brasil;São Paulo;Jacareí;30/04/2025 18:52:51;30/04/2025 18:52:51;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432048;Sondeq Industria de Sondas e Equipamentos ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 11336213080, (+55) 1136213080;11336213080;sondeq.com.br;CNPJ: 61360483000120, Razão Social: SONDEQ INDUSTRIA DE SONDAS E EQUIPAMENTOS LTDA, Data de Abertura: 16/08/1966, Sócios: Paulo Dequech, Jorge Dequech, Cristina Dequech, CNAE primário:2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 100 à 249 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://www.facebook.com/sondeq, Instagram: NULL, X: NULL, LinkedIn: https://www.linkedin.com/company/sondeq-industria-de-sondas-e-equipamentos-ltda, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNDgmZWNpZD0xNzg3OQ2;;61360483000120;DOM PEDRO HENRIQUE DE O.E BRAGANCA, Nº 674;;FUNDOSFUNDOS;;05117002;Brasil;São Paulo;São Paulo;30/04/2025 18:52:49;27/05/2025 15:09:15;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
34432055;Alfa Lula Alto Operacoes Maritimas ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;;;;CNPJ: 18395435000148, Razão Social: ALFA LULA ALTO OPERACOES MARITIMAS LTDA, Data de Abertura: 01/07/2013, Outros emails: simone.castilho@sbmoffshore.com, Sócios: Alfa Lula Alto Holding Ltd., Sbm Offshore Do Brasil Ltda., Jonas Henrique Lobo Da Cunha Contemor, Bruno De Giusti Neto, CNAE primário:0910600-Atividades de apoio à extração de petróleo e gás natural, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 250 à 499 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTUmZWNpZD0xNzg3OQ2;;18395435000148;GUAIAO, Nº 66;;SALA 1201 A 1216 PARTE;;11035060;Brasil;São Paulo;Santos;30/04/2025 18:52:54;30/04/2025 18:52:54;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432056;Gluon Petroleo e Gas .;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1128920009;1128920009;grupoleros.com.br;CNPJ: 22771986000136, Nome Fantasia: GRUPO LEROS, Razão Social: GLUON PETROLEO E GAS S.A., Data de Abertura: 01/07/2015, Outros emails: WILTON@FIRMASS.COM.BR, alexandre@grupoleros.com.br, wilton@firmass.com.br, renato@grupoleros.com.br, Sócios: Alexandre Siqueira Chiofetti, Kleber Ferreira Da Silva, Adriano Tadeu Deguirmendjian Rosa, CNAE primário:0600001-Extração de petróleo e gás natural, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 100 à 249 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://www.facebook.com/GrupoLeros/?locale=pt_BR, Instagram: NULL, X: NULL, LinkedIn: NULL, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTYmZWNpZD0xNzg3OQ2;;22771986000136;PAIS LEME, Nº 215;;CONJ 1804;;05424150;Brasil;São Paulo;São Paulo;30/04/2025 18:52:54;30/04/2025 18:52:54;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432054;Valman Industria Metalurgica ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1141869900;1141869900;valman.com.br;CNPJ: 49769425000159, Nome Fantasia: VALMAN, Razão Social: VALMAN INDUSTRIA METALURGICA LTDA, Data de Abertura: 13/02/1979, Outros emails: vendas@valman.com.br, valman@valman.com.br, compras@valman.com.br, Sócios: Jaime Lopez Izquierdo, Adriana Segura Lopez, Luiz Segura Lopez, CNAE primário:2851800-Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTQmZWNpZD0xNzg3OQ2;;49769425000159;DOS SENTINELAS, Nº 450;;;;06330287;Brasil;São Paulo;Carapicuíba;30/04/2025 18:52:53;27/05/2025 15:09:48;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
34432058;Bomcobras Maquinas e Equipamentos Para Petroleo e Gas ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1150493256, (+55) 1150492434;1150493256;bomcobras.com.br;CNPJ: 14207801000137, Nome Fantasia: BOMCOBRAS, Razão Social: BOMCOBRAS MAQUINAS E EQUIPAMENTOS PARA PETROLEO E GAS LTDA, Data de Abertura: 26/08/2011, Outros emails: financeiro@bomcobras.com.br, oswaldo.fireman@bomcobras.com.br, cadastro@bomcobras.com.br, Sócios: Wang Shu Wei, Lu Fung, Fenggao Zi, Baoji Oilfield Machinery Co., Ltd, China Brasil Petroleo - Importacao, Exportacao E Representacao Comercial Ltda., Fusheng Liu, CNAE primário:2851800-Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 250 à 499 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: NULL, Instagram: NULL, X: NULL, LinkedIn: https://br.linkedin.com/company/bomcobras, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTgmZWNpZD0xNzg3OQ2;;14207801000137;CALIFORNIA, Nº 890;;ANDAR TERREO;;04566061;Brasil;São Paulo;São Paulo;30/04/2025 18:52:55;30/04/2025 18:52:55;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432050;Mixoil Industria e Comercio de Lubrificantes ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1532631004, (+55) 1531999458;1532631004;;CNPJ: 30885010000112, Nome Fantasia: MIXOIL INDUSTRIA E COMERCIO DE LUBRIFICANTES, Razão Social: MIXOIL INDUSTRIA E COMERCIO DE LUBRIFICANTES LTDA, Data de Abertura: 09/07/2018, Outros emails: acampos@mixoil.ind.br, Sócios: Alex Fabiano De Campos, Marcelo David Muzel, CNAE primário:1922599-Fabricação de outros produtos derivados do petróleo, exceto produtos do refino, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTAmZWNpZD0xNzg3OQ2;;30885010000112;JOSE SARTORELLI, S/N;;;;18555225;Brasil;São Paulo;Boituva;30/04/2025 18:52:51;30/04/2025 18:52:51;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432062;Westech Equipamentos Industriais ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1131294751, (+55) 1132345400;1131294751;westechwater.com;CNPJ: 07798560000182, Nome Fantasia: WESTECH, Razão Social: WESTECH EQUIPAMENTOS INDUSTRIAIS LTDA, Data de Abertura: 05/01/2006, Outros emails: westech@westech.com.br, scott.allen@westech-inc.com, scott@westech-inc.com, info@westech-inc.com, mauro@westech.com.br, mgessel@westech-inc.com, matheus@westech.com.br, wtito@westech.com.br, Sócios: Westech Process Equipment Uk Limited, Luiz Alberto Infanti, CNAE primário:2852600-Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: NULL, Instagram: NULL, X: NULL, LinkedIn: https://br.linkedin.com/company/westech-equipamentos-industriais-ltda, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNjImZWNpZD0xNzg3OQ2;;07798560000182;MARQUES DE PARANAGUA, Nº 360;;LOJA TERREA;;01303050;Brasil;São Paulo;São Paulo;30/04/2025 18:52:56;30/04/2025 18:52:56;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432060;Elvin Lubrificantes Industria e Comercio ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1145762656, (+55) 1131056488;1145762656;elvin.com.br;CNPJ: 62417282000184, Razão Social: ELVIN LUBRIFICANTES INDUSTRIA E COMERCIO LTDA, Data de Abertura: 07/05/1969, Outros emails: elvin@elvin.com.br, Sócios: Luis Alberto Diogenes Pinheiro, Dipi Holding Ltda, CNAE primário:1922599-Fabricação de outros produtos derivados do petróleo, exceto produtos do refino, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 50 à 99 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNjAmZWNpZD0xNzg3OQ2;;62417282000184;PAR PARNAIBA, Nº 6550;;;;07811060;Brasil;São Paulo;Franco da Rocha;30/04/2025 18:52:56;30/04/2025 18:52:56;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432065;Cadium Comercio Importacao e Exportacao ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1140471200, (+55) 1140479292;1140471200;;CNPJ: 00245992000117, Razão Social: CADIUM COMERCIO IMPORTACAO E EXPORTACAO LTDA, Data de Abertura: 13/10/1994, Sócios: Rejane De Oliveira Possi, Marcio Roberto Possi, CNAE primário:1922599-Fabricação de outros produtos derivados do petróleo, exceto produtos do refino, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNjUmZWNpZD0xNzg3OQ2;;00245992000117;LUIGI PAPAIZ, Nº 92;;;;09931610;Brasil;São Paulo;Diadema;30/04/2025 18:52:58;30/04/2025 18:52:58;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432059;Condat Lubrificantes do Brasil Industria e Comercio .;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 11340123105, (+55) 11340123100;11340123105;condat.com.br;CNPJ: 07129683000120, Razão Social: CONDAT LUBRIFICANTES DO BRASIL INDUSTRIA E COMERCIO LTDA., Data de Abertura: 09/12/2004, Outros emails: JESSICA.PASCHOAL@CONDAT.COM.BR, fabio@gfdvconsultoria.com.br, jessica.paschoal@condat.com.br, sergio.miyazawa@condat.com.br, webmaster@acl.com.br, Sócios: Sergio Edgar Aoki Miyazawa, Condat S/a, Didier Marc Boussault, CNAE primário:1922599-Fabricação de outros produtos derivados do petróleo, exceto produtos do refino, Porte: EMP - Empresa de Médio Porte, Faixa de Funcionários: De 250 à 499 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Facebook: https://www.facebook.com/condatlubrificantes, Instagram: NULL, X: NULL, LinkedIn: https://www.linkedin.com/company/condat-lubrificantes, Não Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNTkmZWNpZD0xNzg3OQ2;;07129683000120;DOM PEDRO I, Nº S/N;;KM 65;;12955000;Brasil;São Paulo;Bom Jesus dos Perdões;30/04/2025 18:52:55;30/04/2025 18:52:55;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Entrada;Padrão;
34432063;Cotema Comercial e Tecnica de Maquinas ;Marcos Oliveira;;Prospecção Ativa;Manufatura;;(+55) 1930262999, (+55) 1934554906;1930262999;;CNPJ: 43141431000180, Razão Social: COTEMA COMERCIAL E TECNICA DE MAQUINAS LTDA, Data de Abertura: 04/02/1972, Sócios: Denisarth Steagall Junior, CNAE primário:2851800-Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios, Porte: EPP - Empresa de Pequeno Porte, Faixa de Funcionários: De 20 à 49 funcionários, Faixa de Faturamento: De R$ 480 mil até R$ 4.8 milhões de reais por ano, Optante pelo SIMPLES;https://app.exactspotter.com/public/aWQ9MzQ0MzIwNjMmZWNpZD0xNzg3OQ2;;43141431000180;JUSCELINO KUBITSCHEK DE OLIVEIRA, Nº 1040;;;;13457190;Brasil;São Paulo;Santa Bárbara D'Oeste;30/04/2025 18:52:57;27/05/2025 15:10:33;Marcos Oliveira;marcos.oliveira@olvinternacional.com.br;Dados Validados;Padrão;
