LEAD_ID;NOME LEAD;ETAPA;FUNIL;EVENTO;TEMPERATURA;DATA DESCARTE;MOTIVO DESCARTE;DATA DE CRIACAO;DATA ULTIMA ATUALIZACAO;EMAIL PRE-VENDEDOR;PRE-VENDEDOR;CICLO;CICLO ATUAL;VENDEDOR;EMAIL VENDEDOR;USUARIO_ACAO
33809058;Agf Equipamentos;Dados Validados;Padrão;Pré Qualificação;Morna;;;14/04/2025 13:31:49;08/05/2025 12:02:59;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
33809059;Maisontech Engenharia de Sistemas de Moagem e Britagem ;Dados Validados;Padrão;;;;;14/04/2025 13:31:49;27/05/2025 15:06:00;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
33809059;Maisontech Engenharia de Sistemas de Moagem e Britagem ;Entrada;Padrão;Cadastro;;;;14/04/2025 13:31:49;14/04/2025 13:31:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34425507;ATI Elevadores;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425507;ATI Elevadores;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:06;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425508;UPTON Ltda;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:13;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425508;UPTON Ltda;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425509;TEKee Engineering and Services;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425509;TEKee Engineering and Services;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:27;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425510;Simplex Equipamentos Ltda;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425510;Simplex Equipamentos Ltda;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425511;Dr. JONES;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:41;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425511;Dr. JONES;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425512;CMP Group Ltd.;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:07:39;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425512;CMP Group Ltd.;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425513;Costa Granitos;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425513;Costa Granitos;Dados Validados;Padrão;;;;;30/04/2025 15:39:18;27/05/2025 15:06:50;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425514;HwIT - Hardware Innovation Technologies;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:18;30/04/2025 15:39:18;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425515;STEI;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425515;STEI;Dados Validados;Padrão;;;;;30/04/2025 15:39:19;27/05/2025 15:06:59;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425516;Axis Solutions Digital Manufacturing;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425517;GoldKo;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425518;Margui Engenharia de Equipamentos;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425519;BluestOne Brasil;Dados Validados;Padrão;;;;;30/04/2025 15:39:19;27/05/2025 15:06:34;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425519;BluestOne Brasil;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425520;Conamore Hotelaria;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425521;Rishon CosmÃ©ticos;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:19;30/04/2025 15:39:19;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425521;Rishon CosmÃ©ticos;Dados Validados;Padrão;;;;;30/04/2025 15:39:19;27/05/2025 15:07:27;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425522;Fuel Eyewear Company;Dados Validados;Padrão;;;;;30/04/2025 15:39:20;27/05/2025 15:07:57;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425522;Fuel Eyewear Company;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:20;30/04/2025 15:39:20;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425523;Toyster Brinquedos;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:20;30/04/2025 15:39:20;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425524;Daiken Elevadores;Dados Validados;Padrão;;;;;30/04/2025 15:39:20;27/05/2025 15:07:14;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425524;Daiken Elevadores;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:20;30/04/2025 15:39:20;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425525;Copespuma;Dados Validados;Padrão;;;;;30/04/2025 15:39:21;27/05/2025 15:07:05;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425525;Copespuma;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:21;30/04/2025 15:39:21;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34425526;Union Projetos Industriais Ltda;Entrada;Padrão;Cadastro;;;;30/04/2025 15:39:21;30/04/2025 15:39:21;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432044;Petros- Industria,Comercio,Importacao Exportacao de Derivados de Petroleo ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:49;30/04/2025 18:52:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432044;Petros- Industria,Comercio,Importacao Exportacao de Derivados de Petroleo ;Dados Validados;Padrão;;;;;30/04/2025 18:52:49;27/05/2025 15:08:14;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432045;Piacentini & Cia. .;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:49;30/04/2025 18:52:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432046;Teknobras Empreendimentos e Participacoes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:49;30/04/2025 18:52:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432047;Nortec - Comercio e Representacoes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:49;30/04/2025 18:52:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432048;Sondeq Industria de Sondas e Equipamentos ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:49;30/04/2025 18:52:49;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432048;Sondeq Industria de Sondas e Equipamentos ;Dados Validados;Padrão;;;;;30/04/2025 18:52:49;27/05/2025 15:09:15;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432049;Karter Lubrificantes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:51;30/04/2025 18:52:51;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432050;Mixoil Industria e Comercio de Lubrificantes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:51;30/04/2025 18:52:51;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432051;Engendrar Engenheiros Associados Limitada;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:51;30/04/2025 18:52:51;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432052;Energis Agroquimica ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:52;30/04/2025 18:52:52;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432052;Energis Agroquimica ;Dados Validados;Padrão;;;;;30/04/2025 18:52:52;27/05/2025 15:08:41;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432053;Confab Servicos Tubulares ;Dados Validados;Padrão;;;;;30/04/2025 18:52:52;27/05/2025 15:09:04;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432053;Confab Servicos Tubulares ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:52;30/04/2025 18:52:52;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432054;Valman Industria Metalurgica ;Dados Validados;Padrão;;;;;30/04/2025 18:52:53;27/05/2025 15:09:48;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432054;Valman Industria Metalurgica ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:53;30/04/2025 18:52:53;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432055;Alfa Lula Alto Operacoes Maritimas ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:54;30/04/2025 18:52:54;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432056;Gluon Petroleo e Gas .;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:54;30/04/2025 18:52:54;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432057;Lider Lub Industria e Comercio de Lubrificantes ;Dados Validados;Padrão;;;;;30/04/2025 18:52:54;27/05/2025 15:09:35;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432057;Lider Lub Industria e Comercio de Lubrificantes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:54;30/04/2025 18:52:54;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432058;Bomcobras Maquinas e Equipamentos Para Petroleo e Gas ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:55;30/04/2025 18:52:55;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432059;Condat Lubrificantes do Brasil Industria e Comercio .;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:55;30/04/2025 18:52:55;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432060;Elvin Lubrificantes Industria e Comercio ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:56;30/04/2025 18:52:56;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432061;Gacisa Energia e Solucoes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:56;30/04/2025 18:52:56;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432062;Westech Equipamentos Industriais ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:56;30/04/2025 18:52:56;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432063;Cotema Comercial e Tecnica de Maquinas ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:57;30/04/2025 18:52:57;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432063;Cotema Comercial e Tecnica de Maquinas ;Dados Validados;Padrão;;;;;30/04/2025 18:52:57;27/05/2025 15:10:33;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432064;Ramm Quimica Comercio e Industria ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:58;30/04/2025 18:52:58;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432065;Cadium Comercio Importacao e Exportacao ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:58;30/04/2025 18:52:58;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432066;Asp Servicos Industriais ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:58;30/04/2025 18:52:58;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432067;Grupioni Equipamentos Industriais ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:58;30/04/2025 18:52:58;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432068;Tirreno Industria e Comercio de Produtos Quimicos ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:52:59;30/04/2025 18:52:59;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432069;Str Energia ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:00;30/04/2025 18:53:00;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432070;Ssoil Energy ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:01;30/04/2025 18:53:01;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432071;Lucheti Lubrificantes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:01;30/04/2025 18:53:01;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432072;D & K Equipamentos e Lubrificantes ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:01;30/04/2025 18:53:01;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432073;Tamco Lubrificantes e Derivados ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:01;30/04/2025 18:53:01;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432074;Forum Energia, Tecnologia, Equipamentos e Servicos, ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:02;30/04/2025 18:53:02;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432075;Brasbauer Equipamentos de Perfuracao .;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:03;30/04/2025 18:53:03;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432076;Votopetro Industria e Comercio .;Dados Validados;Padrão;;;;;30/04/2025 18:53:03;27/05/2025 15:10:15;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Francisco
34432076;Votopetro Industria e Comercio .;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:03;30/04/2025 18:53:03;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432077;Glenalmond do Brasil Industria e Engenharia ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:03;30/04/2025 18:53:03;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432078;Energis Industria e Comercio ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:03;30/04/2025 18:53:04;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432080;Intero Integrity Services Brasil ;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:05;30/04/2025 18:53:05;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira
34432081;Fey Industrria e Comercio - Em Recuperacao Judicial;Entrada;Padrão;Cadastro;;;;30/04/2025 18:53:05;30/04/2025 18:53:05;marcos.oliveira@olvinternacional.com.br;Marcos Oliveira;1;SIM; ;;Marcos Oliveira

